city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Chicontepec,20.9721,-98.1724,Mexico,MX,Veracruz,minor,,
Chacaltianguis,18.3055,-95.8424,Mexico,MX,Veracruz,minor,,
Tapeixtles,19.0691,-104.2834,Mexico,MX,Colima,minor,,
Tamazulapam,17.0550,-96.0653,Mexico,MX,Oaxaca,minor,,
Ébano,22.2181,-98.3771,Mexico,MX,San Luis Potosí,minor,,
Mazatán,14.8632,-92.4503,Mexico,MX,Chiapas,minor,,
Catazajá,17.7250,-92.0142,Mexico,MX,Chiapas,minor,,
Francisco I. Madero,24.4009,-104.3198,Mexico,MX,Durango,minor,,
San Pablo de las Tunas,18.9942,-97.7079,Mexico,MX,Puebla,minor,,
Villamar,20.0204,-102.5966,Mexico,MX,Michoacán de Ocampo,minor,,
Jaumave,23.4062,-99.3807,Mexico,MX,Tamaulipas,minor,,
Villa Azueta,18.0755,-95.7088,Mexico,MX,Veracruz,minor,,
Hidalgo,24.2481,-99.4390,Mexico,MX,Tamaulipas,minor,,
San Bartolo Coyotepec,16.9581,-96.7075,Mexico,MX,Oaxaca,minor,,
La Trinitaria,16.1186,-92.0520,Mexico,MX,Chiapas,minor,,
Tenejapa,16.8188,-92.5065,Mexico,MX,Chiapas,minor,,
San Martín de Bolaños,21.6826,-103.8132,Mexico,MX,Jalisco,minor,,
Tolimán,20.9080,-99.9300,Mexico,MX,Querétaro,minor,,
Tetlatlahuca,19.2323,-98.2956,Mexico,MX,Tlaxcala,minor,,
Tepeyanco,19.2833,-98.2000,Mexico,MX,Tlaxcala,minor,,
La Independencia,16.2167,-91.8333,Mexico,MX,Chiapas,minor,,
Tlacotepec,18.6844,-97.6533,Mexico,MX,Puebla,minor,,
La Manzanilla de la Paz,20.0050,-103.1546,Mexico,MX,Jalisco,minor,,
Benito Juárez,19.3135,-100.4336,Mexico,MX,Michoacán de Ocampo,minor,,
Irimbo,19.7008,-100.4785,Mexico,MX,Michoacán de Ocampo,minor,,
Tlacuilotepec,20.3257,-98.0687,Mexico,MX,Puebla,minor,,
Penjamillo de Degollado,20.1000,-101.9000,Mexico,MX,Michoacán de Ocampo,minor,,
Zitlaltepec,19.2052,-97.9080,Mexico,MX,Tlaxcala,minor,,
Santa Cruz Quilehtla,19.2167,-98.2167,Mexico,MX,Tlaxcala,minor,,
Acajete,19.5865,-97.0100,Mexico,MX,Veracruz,minor,,
Llera de Canales,23.3177,-99.0261,Mexico,MX,Tamaulipas,minor,,
Tulcingo de Valle,18.0437,-98.4407,Mexico,MX,Puebla,minor,,
Cosío,22.3667,-102.3000,Mexico,MX,Aguascalientes,minor,,
Janos,30.8878,-108.1900,Mexico,MX,Chihuahua,minor,,
Hueytamalco,19.9403,-97.2885,Mexico,MX,Puebla,minor,,
Teotitlán del Valle,17.0298,-96.5193,Mexico,MX,Oaxaca,minor,,
Zacazonapan,19.0728,-100.2550,Mexico,MX,México,minor,,
San Jorge Nuchita,17.6567,-98.1038,Mexico,MX,Oaxaca,minor,,
El Tuito,20.3204,-105.3247,Mexico,MX,Jalisco,minor,,
Zaragoza,28.4932,-100.9223,Mexico,MX,Coahuila de Zaragoza,minor,,
San Lorenzo,16.3948,-97.8740,Mexico,MX,Oaxaca,minor,,
Ixtlahuacán,18.9978,-103.7358,Mexico,MX,Colima,minor,,
Tlalchapa,18.4000,-100.4667,Mexico,MX,Guerrero,minor,,
Saltabarranca,18.5912,-95.5323,Mexico,MX,Veracruz,minor,,
Tetla,19.4420,-98.1032,Mexico,MX,Tlaxcala,minor,,
Alcozauca de Guerrero,17.4611,-98.3842,Mexico,MX,Guerrero,minor,,
Sinaloa de Leyva,25.8219,-108.2226,Mexico,MX,Sinaloa,minor,,
Ajuchitlán del Progreso,18.1500,-100.4833,Mexico,MX,Guerrero,minor,,
Ures,29.4271,-110.3876,Mexico,MX,Sonora,minor,,
San Pedro Sochiápam,17.8280,-96.6627,Mexico,MX,Oaxaca,minor,,
Honey,20.2388,-98.2125,Mexico,MX,Hidalgo,minor,,
Tlapanalá,18.6958,-98.5356,Mexico,MX,Puebla,minor,,
Nazas,25.2246,-104.1146,Mexico,MX,Durango,minor,,
Sain Alto,23.5809,-103.2481,Mexico,MX,Zacatecas,minor,,
Lázaro Cárdenas,19.5333,-97.9833,Mexico,MX,Tlaxcala,minor,,
Chontla,21.2958,-97.9242,Mexico,MX,Veracruz,minor,,
Zapotitlán,18.3296,-97.4740,Mexico,MX,Puebla,minor,,
San Andrés Calpan,19.1036,-98.4619,Mexico,MX,Puebla,minor,,
Jungapeo de Juárez,19.4592,-100.4948,Mexico,MX,Michoacán de Ocampo,minor,,
Santa María Colotepec,15.8972,-96.9375,Mexico,MX,Oaxaca,minor,,
Villa de la Paz,23.6833,-100.7170,Mexico,MX,San Luis Potosí,minor,,
Villa Guerrero,21.9834,-103.5951,Mexico,MX,Jalisco,minor,,
Amanalco de Becerra,19.2537,-100.0198,Mexico,MX,México,minor,,
Villa de Cos,23.2933,-102.3502,Mexico,MX,Zacatecas,minor,,
Casas Grandes,30.3753,-107.9483,Mexico,MX,Chihuahua,minor,,
Tepecoacuilco de Trujano,18.3000,-99.4833,Mexico,MX,Guerrero,minor,,
San Miguel Totolapan,18.1000,-100.3583,Mexico,MX,Guerrero,minor,,
